A move is represented by a number, which is the index (going from right to left, starting at 0) of the position to be occupied.
For example, Move: 0 indicates that the player occupied the bottom right square.
[_________] Move: 0, q-value: 0.9971484316916821
Move: 1, q-value: 0.9972643841459827
Move: 2, q-value: 0.9970363187259966
Move: 3, q-value: 0.9980845480992051
Move: 4, q-value: 0.9997631011535768
Move: 5, q-value: 0.9997604705723393
Move: 6, q-value: 0.9976669020170903
Move: 7, q-value: 0.998733842008821
Move: 8, q-value: 0.9965082365813253
[________x] Move: 1, q-value: 0.9946403616792869
Move: 2, q-value: 0.99115622848218
Move: 3, q-value: 0.9959887064278934
Move: 4, q-value: 0.9933662138877197
Move: 5, q-value: 0.9907421454732904
Move: 6, q-value: 0.9945896195689188
Move: 7, q-value: 0.9971485404098652
Move: 8, q-value: 0.9948638327922931
[_______x_] Move: 0, q-value: 0.9968944852891757
Move: 2, q-value: 0.9956511645647508
Move: 3, q-value: 0.9917393782480635
Move: 4, q-value: 0.9923478307181115
Move: 5, q-value: 0.997289045261561
Move: 6, q-value: 0.9832981890103348
Move: 7, q-value: 0.9939441527702013
Move: 8, q-value: 0.9968404460175456
[______x__] Move: 0, q-value: 0.9970363187384388
Move: 1, q-value: 0.9969700763178013
Move: 3, q-value: 0.9919538746663992
Move: 4, q-value: 0.9929353863105705
Move: 5, q-value: 0.9959443834311683
Move: 6, q-value: 0.9942804002795287
Move: 7, q-value: 0.9953809297009739
Move: 8, q-value: 0.9967003689249742
[_____x___] Move: 0, q-value: 0.9964545797426838
Move: 1, q-value: 0.9875961503353334
Move: 2, q-value: 0.9915683880687352
Move: 4, q-value: 0.9908041826816864
Move: 5, q-value: 0.9874737562244503
Move: 6, q-value: 0.9952975291544159
Move: 7, q-value: 0.9980888633353491
Move: 8, q-value: 0.9974167036189211
[____x____] Move: 0, q-value: 0.9964498848406678
Move: 1, q-value: 0.9995134099788597
Move: 2, q-value: 0.9997633380602706
Move: 3, q-value: 0.9958607767615939
Move: 5, q-value: 0.9938675733195613
Move: 6, q-value: 0.9931784869182386
Move: 7, q-value: 0.9914721635255781
Move: 8, q-value: 0.9852654224284374
[___x_____] Move: 0, q-value: 0.9964892218181587
Move: 1, q-value: 0.9995231656616415
Move: 2, q-value: 0.9997604706142259
Move: 3, q-value: 0.9903531261912919
Move: 4, q-value: 0.9967115140492371
Move: 6, q-value: 0.9977240580433385
Move: 7, q-value: 0.9980101041718357
